Flight_ID,Flight_Number,Flight_Date,Day_of_Week,Airline,Alliance,Origin,Origin_Country,Destination,Destination_Country,Route,Flight_Distance_KM,Route_Category,Aircraft_Type,Aircraft_Capacity,Aircraft_Age_Years,Passengers,Load_Factor,Flight_Hours,Season,Demand_Level,Competition_Index,Weather_Disruption,On_Time_Performance,Delay_Minutes,Average_Ticket_Price,Ticket_Revenue,Ancillary_Revenue,Cargo_Revenue,Total_Revenue,Fuel_Price_Per_Liter,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Profitable,Passenger_Satisfaction_Score,Market_Share_Pct
FL000001,AF3612,2024-05-10,Friday,Air France,SkyTeam,CDG,France,ATL,USA,CDG-ATL,7520,Long Haul,Airbus A350-900,325,21.0,245,0.7548,9.7,Shoulder,Medium,3.0,0,88.3,60.0,493.0,120785.7,20360.56,71184.0,212330.26,0.7114841098291825,41545.9,20641.98,15797.2,40059.43,2585.61,9140.44,14575.16,2897.53,3350.3,8793.62,3725.79,21117.05,4900.2,1215.71,190345.92,21984.34,10.35,1,,14.4
FL000002,BA6892,2022-04-02,Saturday,British Airways,OneWorld,LHR,UK,HKG,Hong Kong,LHR-HKG,9640,Long Haul,Airbus A350-900,325,8.0,257,0.7911,11.9,Shoulder,Medium,3.0,0,97.7,0.0,860.85,221238.83,14845.64,11820.31,247904.78,0.6993494591551239,51143.2,22610.42,22173.52,41639.58,3182.48,9426.35,15245.35,8279.94,5093.69,17031.98,3245.34,39778.1,9796.76,868.66,249515.37,-1610.59,-0.65,0,7.7,30.2
FL000003,CX6592,2024-10-14,Monday,Cathay Pacific,OneWorld,HKG,Hong Kong,LHR,UK,HKG-LHR,9640,Long Haul,Airbus A330-300,277,12.0,233,0.844,11.8,Shoulder,Medium,7.0,0,,3.0,947.26,220710.87,6881.52,62351.44,289943.83,0.8290955107919813,69720.77,23233.27,21865.65,21025.53,1199.29,8986.28,12926.55,3707.17,5342.6,13786.62,2408.05,29546.57,6434.15,555.68,220738.18,69205.65,23.87,1,,14.1
FL000004,LH9800,2023-09-25,Monday,Lufthansa,Star Alliance,FRA,Germany,JNB,South Africa,FRA-JNB,9000,Long Haul,Airbus A330-300,277,1.0,211,0.7649,11.4,Shoulder,Medium,8.0,0,74.6,18.0,1283.76,270874.23,8938.34,47942.39,327754.96,0.6021044381508773,45782.34,17728.25,20922.68,17868.33,1450.71,6808.9,11723.77,3843.14,4396.13,15506.13,2397.57,34326.89,8040.15,1131.1,191926.09,135828.87,41.44,1,7.8,3.4
FL000005,BA5973,2022-07-06,Wednesday,British Airways,OneWorld,LHR,UK,AMS,Netherlands,LHR-AMS,370,Medium Haul,Boeing 737-800,189,7.0,182,0.9639,1.5,Peak,High,3.0,0,85.3,0.0,131.32,23900.66,14744.55,932.7,39577.91,0.671745590983888,2710.84,1219.76,1242.15,7038.43,639.22,2392.14,1221.95,2465.93,153.03,1612.35,2627.61,22166.54,1326.09,1073.69,47889.73,-8311.82,-21.0,0,8.8,
FL000006,SQ1301,2024-04-01,Monday,Singapore Airlines,Star Alliance,SIN,Singapore,ICN,South Korea,SIN-ICN,4680,Medium Haul,Airbus A321,220,20.0,173,0.7907,6.3,Shoulder,Medium,4.0,0,87.3,24.0,726.58,125698.49,7163.55,14387.49,147249.53,,14189.52,7011.79,5736.67,8325.77,749.14,4779.01,4264.06,3178.9,2723.13,11716.15,1382.69,19236.69,5389.97,1010.8,89694.29,57555.24,39.09,1,,13.0
FL000007,CX1853,2023-12-01,Friday,Cathay Pacific,OneWorld,HKG,Hong Kong,NRT,Japan,HKG-NRT,2890,Medium Haul,Boeing 767-300ER,218,,197,0.9082,4.1,Peak,High,7.0,0,80.9,0.0,641.05,126286.87,11409.03,4834.44,142530.34,0.7099916400170757,16932.74,7881.86,5215.15,15420.59,1385.38,5211.32,4246.5,,1497.79,12080.86,2294.55,19099.79,6558.31,1034.21,103024.22,39506.12,27.72,1,8.5,15.0
FL000008,LH5070,2023-07-29,Saturday,Lufthansa,Star Alliance,FRA,Germany,HKG,Hong Kong,FRA-HKG,9190,Long Haul,Airbus A330-300,277,8.0,250,0.9057,11.5,Peak,High,6.0,0,,19.0,,388202.37,6844.22,13329.62,408376.21,0.5407615992121728,48731.2,23835.94,21773.3,20308.05,1627.46,8530.49,15191.03,3699.76,4158.0,19902.18,4378.61,31217.49,18571.2,1011.19,222935.9,185440.31,45.41,1,7.9,26.1
FL000009,AA9967,2023-08-04,Friday,American Airlines,OneWorld,JFK,USA,FCO,Italy,JFK-FCO,6890,Long Haul,Boeing 787-9,296,,296,1.0415,8.6,Peak,High,3.0,0,91.5,0.0,1348.93,399284.37,18628.98,13061.17,430974.52,0.6986347234913998,39057.22,20115.18,14592.13,33682.89,2906.14,8177.82,18188.73,6696.06,3017.38,36159.28,4637.82,28695.86,21089.03,1556.2,238571.74,192402.78,44.64,1,8.1,15.6
FL000010,AF8266,2024-08-27,Tuesday,Air France,SkyTeam,CDG,France,SIN,Singapore,CDG-SIN,10740,Long Haul,Boeing 777-300ER,396,4.0,319,0.8056,13.3,Peak,Medium,8.0,0,88.7,15.0,1621.12,517137.91,26924.18,40074.97,584137.06,0.7931575906955064,101006.1,29626.37,26608.19,51969.24,4279.76,9318.53,18993.19,4637.43,5377.83,47226.52,2922.25,46397.04,18393.6,655.29,367411.34,216725.72,37.1,1,8.0,11.1
FL000011,AA1823,2024-08-05,Monday,American Airlines,OneWorld,JFK,USA,BOG,Colombia,JFK-BOG,4500,Medium Haul,Boeing 787-9,296,15.0,262,0.8853,6.3,Peak,High,9.0,0,85.5,58.0,1020.05,267254.13,7433.13,4554.09,279241.35,0.8832299918291017,35384.68,12805.56,10244.36,34439.69,3067.45,4177.77,6114.93,3919.56,2333.95,19031.46,4397.04,17268.58,10611.33,538.87,164335.23,114906.12,41.15,1,7.5,7.1
FL000012,SQ5804,2022-05-14,Saturday,Singapore Airlines,Star Alliance,SIN,Singapore,JNB,South Africa,SIN-JNB,8540,Long Haul,Airbus A330-300,277,18.0,229,0.8279,10.4,Shoulder,Medium,5.0,0,93.6,0.0,729.37,167025.67,19404.86,61142.15,247572.68,0.7626264648954808,59507.58,22593.17,16196.71,18914.41,1574.92,7115.08,13177.8,3577.2,3882.16,11360.63,1918.87,23266.08,3556.42,778.33,187419.36,60153.32,24.3,1,,13.8
FL000013,AA2252,2023-03-26,Sunday,American Airlines,OneWorld,JFK,USA,FRA,Germany,JFK-FRA,6200,Long Haul,Airbus A350-900,325,17.0,235,0.7232,7.8,Normal,Medium,6.0,0,66.3,0.0,524.5,123257.24,9217.79,13677.42,146152.45,0.7465929771980865,36573.5,18944.43,13580.73,42656.16,3390.44,6081.05,11156.1,5299.24,2529.31,6862.7,3226.66,28932.5,6272.9,1081.19,186586.91,-40434.46,-27.67,0,9.3,3.0
FL000014,AA3593,2023-08-01,Tuesday,American Airlines,OneWorld,JFK,USA,LHR,UK,JFK-LHR,5540,Long Haul,Boeing 777-300ER,396,2.0,360,0.91,7.3,Peak,High,2.0,0,91.7,0.0,977.2,351790.38,16913.59,55596.62,424300.59,0.6135067338600803,36874.45,15282.02,15261.88,52414.18,3470.49,7893.06,17217.15,5017.25,2403.94,23669.64,5996.97,33876.66,16429.42,1030.18,236837.29,187463.3,44.18,1,8.1,13.5
FL000015,EK8943,2024-03-04,Monday,Emirates,Non-Aligned,DXB,UAE,CDG,France,DXB-CDG,5250,Long Haul,Airbus A330-300,277,17.0,239,0.8644,7.0,Normal,High,1.0,0,83.6,11.0,731.32,174786.34,19171.3,26996.24,220953.88,0.7966218838140459,39409.38,14778.52,13025.73,19624.25,1765.86,8565.24,12674.13,4575.41,2717.5,10332.35,2947.24,31315.75,4119.39,1117.73,166968.48,53985.4,24.43,1,7.3,60.3
FL000016,AA7233,2024-01-18,Thursday,American Airlines,OneWorld,JFK,USA,LAX,USA,JFK-LAX,3980,Medium Haul,Boeing 767-300ER,218,6.0,131,0.6025,5.4,Low,Low,2.0,0,91.3,12.0,280.78,36782.13,4143.55,8025.79,48951.47,0.7189895300958326,22088.75,7290.18,7309.94,14591.12,937.16,4962.13,3402.81,3132.51,1852.27,2153.39,1793.7,26095.3,1554.8,636.41,97800.47,-48849.0,-99.79,0,8.6,9.0
FL000017,TK7943,2022-05-19,Thursday,Turkish Airlines,Star Alliance,IST,Turkey,JNB,South Africa,IST-JNB,8090,Long Haul,Airbus A350-900,325,10.0,261,0.8061,10.2,Shoulder,Medium,6.0,0,,0.0,907.49,236854.04,9929.06,59999.35,306782.45,0.6425627971244443,41712.12,14206.01,19339.74,40326.52,3701.98,7756.35,14887.78,6164.44,4281.9,21812.23,1779.25,35634.64,6647.33,735.57,218985.86,87796.59,28.62,1,8.9,11.8
FL000018,AF3674,2023-02-26,Sunday,Air France,SkyTeam,CDG,France,MUC,Germany,CDG-MUC,830,Short Haul,Airbus A320,180,14.0,141,0.7889,1.3,Low,Medium,1.0,0,58.2,0.0,136.93,19306.59,6935.26,1618.18,27860.03,0.6984739200572848,2563.95,1281.93,1158.99,7188.36,649.69,2302.97,1071.95,2177.05,412.42,1693.8,893.65,16242.5,678.68,604.19,38920.13,-11060.1,-39.7,0,8.5,5.9
FL000019,DL9070,2024-03-04,Monday,Delta Air Lines,SkyTeam,ATL,USA,LHR,UK,ATL-LHR,7100,Long Haul,Boeing 787-9,296,15.0,172,0.5844,8.9,Normal,Low,8.0,0,81.8,0.0,799.03,137433.2,5291.46,16968.88,159693.54,0.5599151775986149,33796.62,15632.51,13173.12,33337.61,2584.27,9562.22,8866.46,2388.19,3348.32,9011.8,1368.46,28295.26,4833.83,984.05,167182.72,-7489.18,-4.69,0,9.1,21.3
FL000020,LH7305,2023-02-22,Wednesday,Lufthansa,Star Alliance,FRA,Germany,ATL,USA,FRA-ATL,7700,Long Haul,Airbus A330-300,277,20.0,195,0.706,9.8,Low,Medium,3.0,0,89.9,52.0,495.31,96585.67,11422.53,,164358.98,0.7624519294678056,51601.0,28093.92,14738.6,19557.74,1627.26,7971.05,10937.45,2858.17,5037.31,5146.61,2940.96,23267.08,3957.66,819.74,178554.55,-14195.57,-8.64,0,8.1,13.1
FL000021,AF2387,2022-03-28,Monday,Air France,SkyTeam,CDG,France,FRA,Germany,CDG-FRA,480,Short Haul,Airbus A320,180,8.0,148,0.8259,1.3,Normal,Medium,3.0,0,82.8,10.0,87.61,12965.68,9342.2,1286.02,23593.9,0.7849504857638911,2722.07,1042.65,1034.04,7359.93,578.34,2347.8,1056.0,2530.2,191.91,1226.99,2312.76,13614.53,393.86,576.97,36988.05,-13394.15,-56.77,0,7.6,39.4
FL000022,BA5225,2023-12-15,Friday,British Airways,OneWorld,LHR,UK,BKK,Thailand,LHR-BKK,9560,Long Haul,Airbus A350-900,325,9.0,299,0.9211,12.1,Peak,High,1.0,0,93.2,0.0,1105.5,330543.21,,,411114.59,0.9250630855369564,69462.2,20753.21,21141.98,40365.56,3568.55,6825.95,17116.37,5239.69,4510.9,16708.89,2027.07,38187.95,18165.2,1491.13,265564.65,145549.94,35.4,1,8.7,43.9
