Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,MCC,TNR,FPR,FP_Cost_GBP,Train_F1,Overfit_Gap,Overfit_Label,Member
Random Forest (Tuned),0.9167,0.9359,0.933,0.9345,0.977,0.8201,0.8881,0.1119,2562000,0.9641,0.0297,good fit,Member 1
Decision Tree (Tuned),0.8893,0.9388,0.8838,0.9105,0.9529,0.7684,0.8991,0.1009,2310000,0.9268,0.0163,good fit,Member 1
XGBoost (Tuned),0.9133,0.9301,0.934,0.9321,0.9772,0.8124,0.8771,0.1229,2814000,0.9814,0.0493,good fit,Member 2
Decision Tree (Tuned),0.9027,0.9308,0.9152,0.9229,0.9601,0.7911,0.8807,0.1193,2730000,0.931,0.0081,good fit,Member 2
SVM RBF (Tuned),0.91,0.9447,0.912,0.9281,0.9732,0.8089,0.9064,0.0936,2142000,0.94,0.0119,good fit,Member 3
Decision Tree (Tuned),0.89,0.9256,0.8995,0.9124,0.9574,0.7653,0.8734,0.1266,2898000,0.9333,0.0209,good fit,Member 3
KNN (Tuned),0.8427,0.8332,0.9414,0.884,0.9279,0.6541,0.6697,0.3303,7560000,0.8927,0.0087,good fit,Member 4
Decision Tree (Tuned),0.9013,0.9316,0.912,0.9217,0.9597,0.7887,0.8826,0.1174,2688000,0.9317,0.01,good fit,Member 4
MLP (Tuned),0.906,0.9162,0.9382,0.9271,0.9735,0.7954,0.8495,0.1505,3444000,0.9524,0.0253,good fit,Member 5
Decision Tree (Tuned),0.9013,0.9288,0.9152,0.9219,0.9641,0.7881,0.8771,0.1229,2814000,0.9301,0.0082,good fit,Member 5
